timestamp,value,type1,type2,issueId,companyId,name,identifier,isin,alfa,market,currency,type,quality
2024-08-22T16:50:00.600000,34.56,time,price,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T17:29:00.600000,34.5,time,price,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T17:35:00.600000,34.42,time,price,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T09:00:00.000000,34.4,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T09:30:00.000000,34.36,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T10:02:00.600000,34.4,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T10:33:00.000000,34.6,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T11:00:59.400000,34.58,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T11:30:59.400000,34.64,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T12:00:59.400000,34.6,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T12:42:59.400000,34.48,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T13:00:59.400000,34.46,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T13:32:00.600000,34.48,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T14:00:00.000000,34.5,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T14:30:59.400000,34.58,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T15:00:00.000000,34.54,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T15:35:00.600000,34.56,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T16:00:00.000000,34.56,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T16:32:00.600000,34.5,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T17:00:00.000000,34.56,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T17:35:00.600000,34.42,ohlc,open,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T09:00:00.000000,34.4,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T09:30:00.000000,34.38,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T10:02:00.600000,34.56,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T10:33:00.000000,34.7,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T11:00:59.400000,34.68,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T11:30:59.400000,34.66,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
2024-08-22T12:00:59.400000,34.6,ohlc,high,11797,175,AALBERTS NV,issueid:11797,NL0000852564,AALB,XAMS,EUR,AAN,REALTIME
